Country,Population (x1000),Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death
Nicaragua,6080,,,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,2,1129,,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,13,17946,2235,,,12,17946,2235,,,12,17946,2235,,,12,17946,2235,,,31,38281,2853,,1,31,38281,2853,,1,31,38281,2853,,1,31,38281,2853,,1,31,38281,2853,,1,37,43245,3667,,1,37,43245,3667,,1,37,43245,3667,,1,37,43245,3667,,1,37,43245,3667,,1,41,52942,3962,,1,41,52942,3962,,1,41,52942,3962,,1,41,52942,3962,,1,,,,,,41,52942,3962,,,41,52942,3962,,1,41,52942,3962,,1,,,,,,41,52942,3962,,1,52,70086,5318,,1
Panama,3864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,5,11,,25,,7,12,,26,,7,12,,26,,7,12,,26,,7,12,,27,,13,13,,30,123,15,15,,30,123,15,15,,30,123,15,15,,33,123,17,15,,33,123,17,15,,33,123,17,15,,33,123,17,15,,33,123,17,15,,33,123,17,15,,38,123,22,17,,38,123,22,17,,38,123,22,17,,38,123,25,17,,42,123,25,17,,42,123,25,17,,42,123,25,17,,,,,,,42,123,25,17,,42,123,25,17,,42,123,25,17,,,,,,,50,123,31,17,,52,123,39,19,
Central American Isthmus,45054,,0,0,0,0,,1129,57,0,0,,1129,57,0,0,,3401,57,0,0,,3401,87,0,0,,4520,67,0,0,,4520,44,0,0,,10474,214,49,0,,10805,220,49,0,,11180,230,49,0,,22746,235,49,0,,39871,2470,49,0,,39871,2470,49,0,,40244,2345,0,0,,40244,2345,0,0,,49788,2562,0,1,,50194,2562,0,1,,51030,2601,0,1,,51030,2601,0,1,,49099,2604,0,1,,49943,2604,0,1,,64008,2843,0,1,,66019,2907,0,1,,67910,2908,0,1,,67910,2913,11,1,,72029,2916,12,1,,74730,2919,12,1,,98261,2924,12,1,,98261,2924,12,1,,98261,2930,13,1,,98384,2932,15,1,,98384,2932,15,1,,129065,3553,15,2,,151738,3555,15,2,,153721,3555,15,2,,153721,3555,15,2,,153721,3555,15,2,,162249,4370,15,2,,162249,4370,15,2,,162249,4375,17,2,,162249,4375,17,2,,162249,4375,17,2,,171946,4673,17,2,,171946,4673,17,2,,171946,4673,17,2,,171946,4673,17,2,,0,0,0,0,,182114,4673,17,3,,182114,4673,17,3,,182114,4673,17,3,,0,0,0,0,,202531,6155,17,7,,249950,12314,19,9
Cuba,11266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,10404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,8,39,,,,8,39,,,,8,39,,,,8,39,,,,8,39,,,,8,39,,,,14,45,,,,14,45,,,,14,45,,,,14,45,,,,18,59,,,,18,59,,,,18,59,,,,18,59,,,,18,59,,,,22,63,,,,22,63,,,,22,63,,,,22,63,,,,22,63,,,,22,63,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,28,67,,,,,,,,,28,67,,,,28,67,,,,28,67,,,,,,,,,28,67,,,,28,67,,,
French Guiana,249,,,,,,,,,,,,,,,,4,2209,,,,4,2209,,,,6,3258,1171,,1,6,3258,1171,,1,8,3907,1171,,1,8,3907,1171,,1,9,4335,1171,,1,10,4720,1754,,2,10,4720,1754,,2,12,4701,1754,,2,12,4701,1754,,2,12,4701,1754,,2,16,5410,1756,,2,16,5410,1756,,2,18,5720,1756,,2,18,5720,1756,,2,18,5720,1756,,2,20,5720,1756,,2,22,5830,1756,,2,22,5830,1756,,2,22,5830,1756,,2,22,5830,1756,,2,26,6180,1756,,2,26,6180,1756,,2,26,6180,1756,,2,26,6180,1756,,2,30,6380,1756,,2,30,6380,1756,,2,32,6450,1756,,2,32,6450,1756,,2,32,6450,1756,,2,32,6450,1756,,2,35,6470,1756,,2,36,6560,1756,,2,36,6560,1756,,2,39,6760,1756,,2,39,6760,1756,,2,41,6800,1756,,2,41,6800,1756,,2,43,6890,1756,,2,43,6890,1756,,2,44,6930,1756,,2,44,6930,1756,,2,,,,,,47,6960,1759,,2,47,6960,1759,,2,47,6960,1759,,2,,,,,,47,6960,1759,,2,52,6670,2101,,2
Guadeloupe,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,150,,,,9,157,,,,,,,,,46,157,,,,46,157,,,,46,157,,,,,,,,,46,157,,,,46,157,,,
Haiti,10317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,9,320,,,,46,341,,,,,,,,,46,341,,,,46,341,,,,46,341,,,,,,,,,46,341,,,,46,341,,,
Puerto Rico,3688,,,,,,,,,,,,,,,,1,16,12,,,3,89,27,,,4,89,34,,,5,128,44,,,6,181,49,,,7,158,48,,,8,169,51,,,8,169,51,,,10,274,57,,,11,283,58,,,12,299,60,,,13,306,72,,,14,311,72,,,15,322,75,,,16,328,75,,,17,336,74,,,18,342,75,,,19,374,78,,,20,400,76,,14,21,415,79,,,22,428,85,,,22,428,85,,,24,439,89,,,25,538,89,,,26,569,100,,,27,575,103,,,27,575,103,,,29,595,105,,14,30,603,105,,14,31,622,109,,14,32,644,110,,14,33,641,116,,15,34,668,118,,16,35,738,127,,1,36,1240,146,,1,37,688,130,,1,38,730,145,,1,39,722,160,,1,39,722,160,,1,41,673,181,,1,42,687,189,,1,43,718,199,,1,44,728,202,,1,,,,,,46,749,204,,1,47,760,205,,1,48,789,213,,1,,,,,,50,800,214,,1,52,806,216,,1
