Country,Population (x1000),Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death
Saint Barthelemy,9,,,,,,,,,,,,,,,,,,,,,4,272,,,,6,297,,,,6,297,,,,6,297,,,,6,297,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,9,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,18,317,,,,,,,,,18,317,,,,18,317,,,,18,317,,,,,,,,,18,317,,,,18,317,,,
Saint Martin,36,,,,,,,,,,,,,,,,,,,,,4,450,,,,6,450,,,,6,450,,,,6,450,,,,6,450,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,9,490,,,,18,600,,,,18,600,,,,18,600,,,3,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,3,18,600,,,3,18,600,,,3,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,18,600,,,,46,602,,,,,,,,,46,602,,,,46,602,,,,46,602,,,,,,,,,46,602,,,,46,602,,,
Latin Caribbean,36839,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2225,12,0,0,,3020,27,0,0,,4094,1205,0,1,,4133,1215,0,1,,4835,1220,0,1,,4812,1219,0,1,,5811,1222,0,1,,6205,1805,0,2,,6310,1811,0,2,,6300,1812,0,2,,6316,1814,0,2,,6323,1826,0,2,,7037,1828,0,2,,7054,1831,0,2,,7370,1831,0,2,,7378,1830,0,2,,7494,1831,0,2,,7540,1834,0,2,,7676,1832,0,19,,7691,1835,0,2,,7704,1841,0,2,,7704,1841,0,2,,8069,1845,0,2,,8168,1845,0,2,,8199,1856,0,2,,8205,1859,0,2,,8405,1859,0,2,,8425,1861,0,19,,8507,1861,0,19,,8526,1865,0,19,,8548,1866,0,16,,8545,1872,0,17,,8592,1874,0,18,,8752,1883,0,3,,9254,1902,0,3,,8902,1886,0,3,,8944,1901,0,3,,8976,1916,0,3,,8976,1916,0,3,,9017,1937,0,3,,9031,1945,0,3,,9102,1955,0,3,,9142,1958,0,3,,0,0,0,0,,9193,1963,0,3,,9204,1964,0,3,,9233,1972,0,3,,0,0,0,0,,9244,1973,0,3,,8960,2317,0,3
Bolivia,10671,,,,,,,,,,,,,,,,,,,,,,,,,,6,,13,,,6,,13,,,6,,13,,,9,,74,1,,9,143,74,1,,11,143,245,1,,12,143,341,1,,13,143,615,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,13,143,916,1,,,,,,,13,143,916,1,,13,143,916,1,,13,143,916,1,,,,,,,13,143,916,1,,13,143,916,1,
Colombia,48321,,,,,,,,,,,1,22271,,,,2,36280,,,,3,51715,625,,,4,67068,625,,,5,81647,706,,,6,93237,706,,,7,103676,707,,,8,113625,707,,,9,128085,885,,,10,140911,917,,,11,152579,920,,4,12,158532,926,,4,13,159606,137,,,14,170897,192,,4,15,180917,197,,4,16,191037,199,,22,17,200919,200,,22,18,217237,492,,22,19,233454,504,,22,20,244148,529,,25,21,254666,532,,32,22,263247,538,,32,23,273232,552,,32,24,281570,553,,36,25,289730,557,,36,26,295182,561,,36,27,301609,561,,37,28,307658,864,,37,29,311963,910,,37,30,315647,915,,40,31,318611,997,,40,32,320891,1104,,40,33,323603,1131,,45,34,329176,1156,,45,35,331051,1181,,55,36,332306,1198,,55,37,333173,1961,,55,38,335838,1971,,55,39,337803,1978,,56,40,339006,1982,,56,41,340351,1982,,61,42,342747,1983,,65,43,346717,1989,,69,44,348855,1993,,69,,,,,,46,351105,3193,,69,47,352151,3196,,69,48,353059,3195,,69,,,,,,50,354228,3189,,70,52,356079,3202,,54
Ecuador,15738,,,,,,,,,,,,,,,,,,,,,5,25,41,11,,5,25,41,11,,5,25,41,11,,5,25,41,11,,9,,199,19,,10,,269,26,,10,,269,26,,10,,269,26,,13,1234,172,99,,13,1234,172,99,,14,1565,202,99,,16,3516,371,99,,16,3516,371,99,,16,3516,371,99,,16,3516,371,99,,16,3516,371,99,,21,11518,1046,88,,22,14459,1268,89,,22,14459,1268,89,,22,14459,1268,89,,24,14459,1953,89,2,24,14459,1937,88,2,24,14459,1937,88,2,24,14459,1937,88,2,29,26806,3144,95,2,30,27156,3297,95,2,31,27364,3373,88,2,31,27364,3373,88,2,31,27364,3373,88,2,34,28463,3813,99,2,34,28463,3813,99,2,34,28463,3813,99,2,34,28463,3813,99,2,37,28893,4051,102,2,37,28893,4051,102,2,37,28893,4051,102,2,37,28893,4051,102,2,42,29150,4162,102,2,42,29150,4162,102,2,44,29242,4162,102,2,44,29242,4162,102,2,44,29242,4162,102,2,,,,,,47,29354,4157,21,2,47,29354,4157,21,2,47,29354,4157,21,2,,,,,,47,29354,4157,21,2,52,29457,4196,21,2
Peru,30376,,,,,,,,,,,3,,,18,,3,,,18,,5,,,21,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,6,,,23,,23,,1,27,,24,11,7,27,,24,11,7,27,,24,11,7,27,,24,11,7,27,,24,11,7,27,,24,11,7,27,,24,11,7,27,,26,31,31,30,,27,30,32,30,,27,30,32,30,,28,30,32,31,,30,36,68,55,,30,36,68,55,,36,69,83,71,,36,69,83,71,,36,69,83,71,,36,69,83,71,,36,69,83,71,,36,69,83,71,,36,69,83,71,,36,69,83,71,,37,74,84,71,,37,74,84,71,,,,,,,47,85,100,77,,47,85,100,77,,47,85,100,77,,,,,,,47,85,100,77,,52,192,103,67,
Venezuela,30405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,17,12482,296,,,30,13890,313,,,30,13890,313,,,33,14340,318,,,33,14340,318,,,35,14674,320,,,35,14674,320,,,36,14697,321,,,36,14697,321,,,38,14768,324,,,40,14829,330,,,41,14878,332,,,42,14920,335,,,42,14920,335,,,43,14973,337,,,44,15010,337,,,,,,,,46,15156,338,,,47,15222,346,,,48,15316,346,,,,,,,,49,15492,347,,,52,16293,355,,
Andean Area,135511,,0,0,0,0,,0,0,0,0,,22271,0,18,0,,36280,0,18,0,,51740,666,32,0,,67093,679,34,0,,81672,760,34,0,,93262,760,34,0,,103676,980,43,0,,113768,1050,50,0,,128228,1399,50,0,,141054,1527,50,0,,153956,1707,123,4,,159909,2014,123,4,,161314,1255,123,0,,174556,1479,123,4,,184576,1484,123,4,,194696,1486,123,22,,217060,1783,123,22,,233378,2075,123,22,,257597,2762,112,22,,271232,3009,113,25,,281750,3013,117,32,,290342,3025,117,32,,300327,3724,117,34,,308665,3709,116,38,,316825,3713,116,38,,322277,3717,116,38,,341051,4924,123,39,,347450,5380,123,39,,351983,5526,119,39,,357074,5549,119,42,,360038,5631,119,42,,363867,6183,131,42,,366585,6246,155,47,,372492,6273,155,47,,374400,6313,171,57,,376108,6569,174,57,,376975,7332,174,57,,379711,7345,174,57,,381737,7358,174,58,,383246,7475,174,58,,384633,7478,174,63,,387121,7479,174,67,,391149,7488,174,71,,393324,7492,174,71,,0,0,0,0,,395843,8704,99,71,,396955,8715,99,71,,397957,8714,99,71,,0,0,0,0,,399302,8709,99,72,,402164,8772,89,56
Argentina,41446,,,,,,,,,,,,,,,,3,,,5,,3,,,5,,4,,,9,,4,,,9,,7,,,12,,7,,,12,,9,,,13,,10,,,20,,10,,,20,,12,,,21,,12,,,21,,14,,,22,,14,,,22,,15,,,24,,17,,,26,,17,,,20,,17,,,18,,20,,,17,,20,,,17,,22,,,21,,23,,,24,,23,,,26,,24,,,29,,24,,,29,,24,,,29,,24,,,29,,28,,,30,,29,,,31,,29,,,31,,29,,,31,,29,,,31,,29,,,31,,35,,,32,,36,,,34,,37,,,35,,37,,,35,,39,,,38,,39,,,38,,39,,,38,,42,,,39,,43,,,40,,43,,,40,,43,,,40,,,,,,,43,,,40,,48,,,41,,48,,,41,,,,,,,,,,41,,,,,42,
Brazil,200362,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,21,,,5,833,9,,,6,833,9,,,6,833,9,,,6,833,9,,,9,2100,3,,,9,2100,3,,,9,2100,3,,,9,2100,3,,,11,2392,3,,,12,2542,3,,,12,1029,1516,,,14,2930,5,,,15,3090,5,7,,15,3090,5,7,,15,3090,5,7,,15,3090,5,7,,15,3090,5,7,,15,3090,5,7,,15,3090,5,7,,22,7010,70,7,,23,6958,114,7,,23,6958,114,7,,23,6958,114,7,,26,8251,120,7,,28,8628,119,7,,28,8628,119,7,,30,8648,123,7,,30,8648,123,7,,30,8648,123,7,,30,8648,123,7,,30,8648,123,7,,30,8648,123,7,,34,11394,168,7,,34,11394,168,7,,34,11394,168,7,,38,11445,199,7,,40,12898,246,7,,40,12898,246,7,,40,12898,246,7,,40,12898,246,7,,,,,,,46,9300,6350,7,,46,9300,6350,7,,47,9055,6784,7,,,,,,,,15276,374,7,,,22813,817,7,6
Chile,17620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,16,,,1,,24,,,4,,24,,,4,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,28,,,6,,,,,,,28,,,6,,28,,,6,,28,,,6,,,,,,,,,,6,,,,,6,
Paraguay,6802,,,,,,,,,,,,,,,,,,,,,,,,,,5,,8,,,5,,35,,,5,58,70,,,5,58,70,,,10,129,141,,,11,134,169,,,11,134,169,,,11,244,270,,,,244,270,,,15,390,391,,,15,390,391,,,15,441,427,,,15,441,427,,,16,490,495,,,17,769,567,,,18,780,582,,,18,863,674,,,20,1594,732,,,20,1594,732,,,22,1759,789,,,23,1759,789,,,24,1759,813,,,25,1759,827,,,26,1761,830,,,27,1854,840,,,28,1857,840,,,29,1942,857,,,30,1942,859,,,31,2352,860,,,32,2385,861,,,33,2394,865,,,34,2645,869,,,35,2779,869,,,35,2779,869,,,37,3037,870,,,28,3037,873,,,39,3050,873,,,40,3238,872,,,42,3268,873,,,42,3268,873,,,42,3268,873,,,,,,,,43,3418,873,,,43,3418,873,,,43,3418,873,,,,,,,,,3418,873,,,,3418,879,,
Uruguay,3419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Cone,269649,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,5,0,,0,0,5,0,,6,29,9,0,,833,44,9,0,,891,79,12,0,,891,79,12,0,,962,150,13,0,,2234,172,20,0,,2234,172,20,0,,2344,273,21,0,,2344,273,21,0,,2782,394,22,0,,2932,394,23,0,,1470,1943,25,0,,3371,432,27,0,,3580,500,28,0,,3859,572,26,0,,3870,587,25,0,,3953,679,25,0,,4684,737,29,0,,4684,737,32,0,,4849,794,34,0,,8769,859,37,0,,8717,927,40,0,,8717,941,40,0,,8719,944,42,0,,10105,960,43,0,,10485,959,44,0,,10570,976,44,0,,10590,982,44,0,,11000,983,44,0,,11033,984,44,0,,11042,988,45,0,,11293,992,47,0,,11427,992,48,0,,14173,1037,48,0,,14431,1038,51,0,,14431,1041,51,0,,14495,1072,51,0,,16136,1118,52,0,,16166,1119,53,0,,16166,1119,53,0,,16166,1119,53,0,,0,0,0,0,,12718,7223,53,0,,12718,7223,54,0,,12473,7657,54,0,,0,0,0,0,,18694,1247,54,0,,26231,1696,55,6
Anguilla,16,,,,,,,,,,,,,,,,2,10,,,,3,15,,,,4,18,,,,4,18,,,,4,18,,,,7,21,,,,7,21,,,,7,21,,,,7,21,,,,7,21,,,,7,21,,,,11,25,3,,,11,25,3,,,11,25,3,,,11,25,3,,,11,25,3,,,11,25,3,,,11,25,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,11,28,3,,,,,,,,11,28,3,,,11,28,3,,,11,28,3,,,,,,,,11,28,3,,,11,28,3,,
Antigua and Barbuda,90,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,6,14,,,,6,14,,,,7,2,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,8,16,,,,,,,,,8,16,,,,8,16,,,,8,16,,,,,,,,,8,16,,,,8,16,,,
Aruba,109,,,,,,,,,,,,,,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,2,323,139,,,12,57,677,,,12,57,677,,,12,57,677,,,12,57,677,,,12,57,677,,,12,57,677,,,12,57,677,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,14,66,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,29,281,686,,,,,,,,29,281,686,,,29,281,686,,,29,281,686,,,,,,,,29,281,686,,,29,281,686,,
Bahamas,377,1,,3,,,1,,3,,,1,,3,,,1,,3,,,1,,3,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,6,,8,,,17,,11,,,17,,11,,,17,,11,,,17,,11,,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,17,,10,1,,,,,,,17,,10,1,,17,,10,1,,17,,10,1,,,,,,,17,,10,1,,17,,10,1,
Barbados,289,,,,,,,,,,,3,,,,,3,77,7,,,5,77,7,8,,5,77,7,8,,5,77,7,8,,5,77,7,8,,5,77,7,8,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,8,232,8,,,15,279,15,,,17,68,15,,,17,68,15,,,19,290,15,,2,19,290,15,,,19,290,15,,,19,290,15,,,19,290,15,,,19,290,15,,2,19,290,15,,,19,290,15,,,19,290,15,,,19,290,15,,2,19,290,15,,2,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,25,82,,,,,,,,,25,82,,,,25,82,,,,25,82,,,,,,,,,25,82,,,,25,82,,,
Cayman Islands,54,,,,,,,,,,,1,,6,,,2,8,1,,,2,8,1,,,2,11,1,,,2,11,1,,,6,61,1,,,6,61,1,,,6,61,1,,,6,61,1,,,6,61,1,,,6,61,1,,,6,61,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,8,67,1,,,,,,,,8,67,1,,,8,67,1,,,8,67,1,,,,,,,,8,67,1,,,8,67,1,,
Curacao,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,8,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,,,,,,5,,,,,5,,,,,5,,,,,,,,,,5,,,,,5,,,,
Grenada,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,800,,,,,,,,,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,,,,,,2,5310,29,,,2,5310,29,,,2,5310,29,,,,,,,,2,5310,29,,,2,5310,29,,
Jamaica,2784,,,,,,2,136,,,,3,160,,,,4,194,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,5,223,,,,7,249,,,,7,249,,,,7,249,,,,7,249,,,,7,249,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,6,299,,,,,,,,,6,299,,,,6,299,,,,6,299,,,,,,,,,6,299,,,,6,299,,,
Montserrat,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,4,12,,,,12,13,,,,12,13,,,,12,13,,,,12,13,,,,12,13,,,,12,13,,,,12,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,20,13,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,29,7,,,,,,,,,29,7,,,,29,7,,,,29,7,,,,,,,,,29,7,,,,29,7,,,
Saint Kitts and Nevis,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,103,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,25,,,,,25,,,,,25,,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,,,,,8,3,2,,,8,3,2,,,8,,,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,3,2,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,,,,,,8,,,,,8,,,,,8,,,,,,,,,,8,,,,,8,,,,
Sint Maarten,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1341,,,,,,,,,,,,,,,,,,,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,3,,12,,,7,,22,,,7,,22,,,7,,22,,,7,,22,,,7,,22,,,7,,22,,,7,,22,,,,,,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,20,,83,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,30,,51,,,,,,,,30,,51,,,30,,51,,,30,,51,,,,,,,,30,,51,,,30,,51,,
